        4436
  0.155602893241317574D-04 -0.243862010360791101D+05  0.117621638691152501D+10 -0.131688785359878656D+15
  0.159541974166204080D-04 -0.239329613466405463D+05  0.112611766350144911D+10 -0.122976634578792687D+15
  0.163580772114030985D-04 -0.234880423638670836D+05  0.107814906991070604D+10 -0.114840491006109344D+15
  0.167721811367348141D-04 -0.230512928515630447D+05  0.103222018195457363D+10 -0.107242294587988016D+15
  0.171967680107843017D-04 -0.226225642998058865D+05  0.988244408238582611D+09 -0.100146498672867719D+15
  0.176321032033782773D-04 -0.222017108761401469D+05  0.946138827923478603D+09 -0.935199041225766562D+14
  0.180784588018391434D-04 -0.217885893776400590D+05  0.905824035348505616D+09 -0.873315043667371250D+14
  0.185361137810201553D-04 -0.213830591838252803D+05  0.867223991223372459D+09 -0.815523406788985000D+14
  0.190053541776438461D-04 -0.209849822104148407D+05  0.830265880111566901D+09 -0.761553670003970625D+14
  0.194864732690530057D-04 -0.205942228639042551D+05  0.794879973939301252D+09 -0.711153236822436719D+14
  0.199797717564856118D-04 -0.202106479969513312D+05  0.760999501275774240D+09 -0.664086195571447031D+14
  0.204855579529882155D-04 -0.198341268645563432D+05  0.728560522140842915D+09 -0.620132217923931328D+14
  0.210041479760853112D-04 -0.194645310810224146D+05  0.697501808106717110D+09 -0.579085530102499766D+14
  0.215358659453246317D-04 -0.191017345776825678D+05  0.667764727470194459D+09 -0.540753951967537031D+14
  0.220810441848222820D-04 -0.187456135613793776D+05  0.639293135281091928D+09 -0.504957999512719141D+14
  0.226400234309337782D-04 -0.183960464736843824D+05  0.612033268021850109D+09 -0.471530046584588594D+14
  0.232131530451808472D-04 -0.180529139508438238D+05  0.585933642741838336D+09 -0.440313541921263906D+14
  0.238007912325671119D-04 -0.177160987844379415D+05  0.560944960458122492D+09 -0.411162277861455469D+14
  0.244033052654185509D-04 -0.173854858827412900D+05  0.537020013642501235D+09 -0.383939707315364531D+14
  0.250210717128890381D-04 -0.170609622327714751D+05  0.514113597622133017D+09 -0.358518305813947891D+14
  0.256544766762740366D-04 -0.167424168630141503D+05  0.492182425728457332D+09 -0.334778975663572578D+14
  0.263039160302792470D-04 -0.164297408068124168D+05  0.471185048035952747D+09 -0.312610489428201406D+14
  0.269697956703953834D-04 -0.161228270664085849D+05  0.451081773539110482D+09 -0.291908970144286289D+14
  0.276525317665326145D-04 -0.158215705776271607D+05  0.431834595622335315D+09 -0.272577405846085859D+14
  0.283525510230741155D-04 -0.155258681751871627D+05  0.413407120683539271D+09 -0.254525196137007969D+14
  0.290702909455105032D-04 -0.152356185586329902D+05  0.395764499778247893D+09 -0.237667728692771719D+14
  0.298062001138214679D-04 -0.149507222588727782D+05  0.378873363156516552D+09 -0.221925983722374219D+14
  0.305607384627760620D-04 -0.146710816053133040D+05  0.362701757570335388D+09 -0.207226164541201172D+14
