        4436
  0.155602893241317574D-04  0.570365008554897797D-08  0.610968956721445917D-03  0.261762671437058287D+02
  0.159541974166204080D-04  0.594632119343052968D-08  0.621237027438860390D-03  0.259590191769264180D+02
  0.163580772114030985D-04  0.619931708270213299D-08  0.631677669300304175D-03  0.257436257872994005D+02
  0.167721811367348141D-04  0.646307706145408024D-08  0.642293797806680580D-03  0.255299903883344257D+02
  0.171967680107843017D-04  0.673805908919968588D-08  0.653088321996602361D-03  0.253181062101163512D+02
  0.176321032033782773D-04  0.702474061587699491D-08  0.664064262208891119D-03  0.251080046803720123D+02
  0.180784588018391434D-04  0.732361941753988285D-08  0.675224665616226075D-03  0.248996405973383261D+02
  0.185361137810201553D-04  0.763521443407914713D-08  0.686572628376763043D-03  0.246930039078906240D+02
  0.190053541776438461D-04  0.796006669517951521D-08  0.698111304768805744D-03  0.244881006019401823D+02
  0.194864732690530057D-04  0.829874023952374214D-08  0.709843915302572274D-03  0.242848843029695658D+02
  0.199797717564856118D-04  0.865182312803690653D-08  0.721773690383667324D-03  0.240833318929049334D+02
  0.204855579529882155D-04  0.901992838712817900D-08  0.733903950158292266D-03  0.238834737904748273D+02
  0.210041479760853112D-04  0.940369518620446189D-08  0.746238078927464804D-03  0.236852775079361031D+02
  0.215358659453246317D-04  0.980378984102187062D-08  0.758779490815670991D-03  0.234887333451843467D+02
  0.220810441848222820D-04  0.102209070519750396D-07  0.771531689684685443D-03  0.232938098942168494D+02
  0.226400234309337782D-04  0.106557710614442988D-07  0.784498185711268747D-03  0.231004909383491714D+02
  0.232131530451808472D-04  0.111091369036475301D-07  0.797682598200306100D-03  0.229087960091481406D+02
  0.238007912325671119D-04  0.115817917779970757D-07  0.811088593704050939D-03  0.227186852716251551D+02
  0.244033052654185509D-04  0.120745563378190101D-07  0.824719883702847243D-03  0.225301384558145159D+02
  0.250210717128890381D-04  0.125882861751614191D-07  0.838580249948515022D-03  0.223431754598778198D+02
  0.256544766762740366D-04  0.131238732530132609D-07  0.852673570422390176D-03  0.221577723681390388D+02
  0.263039160302792470D-04  0.136822475502794928D-07  0.867003741983280894D-03  0.219738751149539802D+02
  0.269697956703953834D-04  0.142643785201770935D-07  0.881574720219062760D-03  0.217915156111117945D+02
  0.276525317665326145D-04  0.148712769216112253D-07  0.896390592545447985D-03  0.216106975235537462D+02
  0.283525510230741155D-04  0.155039965095896156D-07  0.911455471832872070D-03  0.214313667085681061D+02
  0.290702909455105032D-04  0.161636358752240611D-07  0.926773527005224926D-03  0.212535035731201276D+02
  0.298062001138214679D-04  0.168513403227085802D-07  0.942348998804454913D-03  0.210771192408648318D+02
  0.305607384627760620D-04  0.175683038889038368D-07  0.958186231060435085D-03  0.209022083307906925D+02
  0.313343775693255246D-04  0.183157714311917632D-07  0.974289618816595983D-03  0.207287467539156580D+02
  0.321276009472692072D-04  0.190950407421060058D-07  0.990663635220665698D-03  0.205567336920570582D+02
  0.329409043493768310D-04  0.199074648564853782D-07  0.100731284227366900D-02  0.203861501248259955D+02
  0.337747960771558615D-04  0.207544543680321736D-07  0.102424185365585386D-02  0.202169731680950306D+02
  0.346297972984577478D-04  0.216374798716045931D-07  0.104145536750458920D-02  0.200491976861546135D+02
  0.355064423731203690D-04  0.225580745332456972D-07  0.105895816447562022D-02  0.198828116524472307D+02
  0.364052791868511765D-04  0.235178367402259438D-07  0.107675510094836164D-02  0.197178115503746625D+02
  0.373268694935584736D-04  0.245184328794258664D-07  0.109485113412447497D-02  0.195541836188350366D+02
  0.382717892663449481D-04  0.255616002620777237D-07  0.111325128098759517D-02  0.193919131898051305D+02
  0.392406290573827867D-04  0.266491500648869498D-07  0.113196066083786143D-02  0.192309962614790066D+02
  0.402339943668939524D-04  0.277829705850427533D-07  0.115098447490516757D-02  0.190714011636430740D+02
  0.412525060214672927D-04  0.289650303986719993D-07  0.117032797505566173D-02  0.189131243219284713D+02
  0.422968005619477031D-04  0.301973818256180102D-07  0.118999655313448680D-02  0.187561810965421429D+02
  0.433675306411395223D-04  0.314821645470580782D-07  0.120999569418847662D-02  0.186005381539651644D+02
  0.444653654315727806D-04  0.328216092745182485D-07  0.123033092602043066D-02  0.184461741133802946D+02
  0.455909910435859571D-04  0.342180415637021459D-07  0.125100789588954067D-02  0.182930931635962466D+02
  0.467451109539870468D-04  0.356738859664162776D-07  0.127203235140324004D-02  0.181412875274741410D+02
  0.479284464455598683D-04  0.371916701348111769D-07  0.129341013815401106D-02  0.179907487627624292D+02
  0.491417370576898474D-04  0.387740293216707338D-07  0.131514720427000414D-02  0.178414524101136571D+02
  0.503857410483909447D-04  0.404237108526908085D-07  0.133724955955002913D-02  0.176933848138755252D+02
  0.516612358680208466D-04  0.421435789065091866D-07  0.135972334460379360D-02  0.175465571291480700D+02
  0.529690186449814266D-04  0.439366195459356698D-07  0.138257482713667439D-02  0.174009501255730115D+02
  0.543099066837064853D-04  0.458059459059000023D-07  0.140581033309831061D-02  0.172565495503563753D+02
  0.556847379752474777D-04  0.477548034721616485D-07  0.142943633192514370D-02  0.171133469604455470D+02
  0.570943717207766292D-04  0.497865759425019460D-07  0.145345936774801069D-02  0.169713224802976086D+02
  0.585396888683321177D-04  0.519047907748154474D-07  0.147788610072639584D-02  0.168304883915466270D+02
  0.600215926631423108D-04  0.541131256568696431D-07  0.150272336053755952D-02  0.166908284498734787D+02
  0.615410092118707266D-04  0.564154147064941329D-07  0.152797801490958760D-02  0.165523145541366574D+02
  0.630988880611342172D-04  0.588156550931723615D-07  0.155365706920740539D-02  0.164149545185940333D+02
  0.646962027906552859D-04  0.613180140720693795D-07  0.157976767697000668D-02  0.162787338039710825D+02
  0.663339516214174257D-04  0.639268362169482075D-07  0.160631706508336395D-02  0.161436418205181766D+02
