        4436
  0.155602893241317574D-04  0.362985978714475642D-03  0.155514566294805565D+02 -0.333178763715172186D+06
  0.159541974166204080D-04  0.369086299582693637D-03  0.154224017681026346D+02 -0.322256885288775316D+06
  0.163580772114030985D-04  0.375289143269473601D-03  0.152944175373410332D+02 -0.311693003949412785D+06
  0.167721811367348141D-04  0.381596232598315171D-03  0.151674950686398482D+02 -0.301475388185163494D+06
  0.171967680107843017D-04  0.388009319343362333D-03  0.150416255660469123D+02 -0.291592690695131663D+06
  0.176321032033782773D-04  0.394530184715627592D-03  0.149168003056691880D+02 -0.282033935814191005D+06
  0.180784588018391434D-04  0.401160639857384106D-03  0.147930106351268300D+02 -0.272788507360802498D+06
  0.185361137810201553D-04  0.407902526344853145D-03  0.146702479730101274D+02 -0.263846136877635960D+06
  0.190053541776438461D-04  0.414757716699336136D-03  0.145485038083381770D+02 -0.255196892264333612D+06
  0.194864732690530057D-04  0.421728114906922097D-03  0.144277697000124565D+02 -0.246831166770441399D+06
  0.199797717564856118D-04  0.428815656946920562D-03  0.143080372762820520D+02 -0.238739668348753330D+06
  0.204855579529882155D-04  0.436022311329165024D-03  0.141892982342025924D+02 -0.230913409356434830D+06
  0.210041479760853112D-04  0.443350079640331075D-03  0.140715443391072164D+02 -0.223343696589912492D+06
  0.215358659453246317D-04  0.450800997099431078D-03  0.139547674240736601D+02 -0.216022121659380704D+06
  0.220810441848222820D-04  0.458377133122623594D-03  0.138389593893887479D+02 -0.208940551659896562D+06
  0.226400234309337782D-04  0.466080591897505086D-03  0.137241122020274950D+02 -0.202091120153769443D+06
  0.232131530451808472D-04  0.473913512967039574D-03  0.136102178951226307D+02 -0.195466218449389911D+06
  0.238007912325671119D-04  0.481878071823281517D-03  0.134972685674471968D+02 -0.189058487156108458D+06
  0.244033052654185509D-04  0.489976480511069342D-03  0.133852563828976034D+02 -0.182860808032273839D+06
  0.250210717128890381D-04  0.498210988241841132D-03  0.132741735699698928D+02 -0.176866296086187533D+06
  0.256544766762740366D-04  0.506583882017749539D-03  0.131640124212523197D+02 -0.171068291937267524D+06
  0.263039160302792470D-04  0.515097487266250953D-03  0.130547652929085416D+02 -0.165460354427438695D+06
  0.269697956703953834D-04  0.523754168485330695D-03  0.129464246041772810D+02 -0.160036253468652896D+06
  0.276525317665326145D-04  0.532556329899567735D-03  0.128389828368696115D+02 -0.154789963145003188D+06
  0.283525510230741155D-04  0.541506416127189106D-03  0.127324325348552208D+02 -0.149715655018257326D+06
  0.290702909455105032D-04  0.550606912858316098D-03  0.126267663035759306D+02 -0.144807691654964641D+06
  0.298062001138214679D-04  0.559860347544593280D-03  0.125219768095447623D+02 -0.140060620377253625D+06
  0.305607384627760620D-04  0.569269290100369901D-03  0.124180567798560659D+02 -0.135469167204864847D+06
  0.313343775693255246D-04  0.578836353615654661D-03  0.123149990016998299D+02 -0.131028231007142298D+06
  0.321276009472692072D-04  0.588564195081013597D-03  0.122127963218697086D+02 -0.126732877839101886D+06
  0.329409043493768310D-04  0.598455516124628837D-03  0.121114416462862593D+02 -0.122578335463846626D+06
  0.337747960771558615D-04  0.608513063761713878D-03  0.120109279395120723D+02 -0.118559988054108369D+06
  0.346297972984577478D-04  0.618739631156487845D-03  0.119112482242829927D+02 -0.114673371065168933D+06
  0.355064423731203690D-04  0.629138058396936815D-03  0.118123955810344192D+02 -0.110914166285401530D+06
  0.364052791868511765D-04  0.639711233282546873D-03  0.117143631474271626D+02 -0.107278197037257720D+06
  0.373268694935584736D-04  0.650462092125250984D-03  0.116171441178881043D+02 -0.103761423541106953D+06
  0.382717892663449481D-04  0.661393620563797643D-03  0.115207317431401854D+02 -0.100359938429313886D+06
  0.392406290573827867D-04  0.672508854391760838D-03  0.114251193297504905D+02 -0.970699624031369458D+05
  0.402339943668939524D-04  0.683810880399441691D-03  0.113303002396751307D+02 -0.938878400441221456D+05
  0.412525060214672927D-04  0.695302837229862442D-03  0.112362678897987145D+02 -0.908100357517070952D+05
  0.422968005619477031D-04  0.706987916249107685D-03  0.111430157514916104D+02 -0.878331298142871819D+05
  0.433675306411395223D-04  0.718869362431251045D-03  0.110505373501610595D+02 -0.849538146137114672D+05
  0.444653654315727806D-04  0.730950475258098677D-03  0.109588262648108117D+02 -0.821688909499073052D+05
  0.455909910435859571D-04  0.743234609634015422D-03  0.108678761276031111D+02 -0.794752644907889189D+05
  0.467451109539870468D-04  0.755725176816064996D-03  0.107776806234185347D+02 -0.768699423347322736D+05
  0.479284464455598683D-04  0.768425645359731681D-03  0.106882334894262510D+02 -0.743500296860522358D+05
