        4436
  0.155602893241317574D-04 -0.109499999999999993D+02  0.642699033376846055D+05  0.190994400535510977D+14
  0.159541974166204080D-04 -0.109250000000000007D+02  0.626830934711367736D+05 -0.393014340418968773D+10
  0.163580772114030985D-04 -0.109000000000000004D+02  0.611354620797853131D+05 -0.373846925310566711D+10
  0.167721811367348141D-04 -0.108750000000000000D+02  0.596260418436315667D+05 -0.355614313093523455D+10
  0.171967680107843017D-04 -0.108499999999999996D+02  0.581538893258942626D+05 -0.338270912966714859D+10
  0.176321032033782773D-04 -0.108249999999999993D+02  0.567180843833240142D+05 -0.321773357616366100D+10
  0.180784588018391434D-04 -0.108000000000000007D+02  0.553177295910945395D+05 -0.306080394775462532D+10
  0.185361137810201553D-04 -0.107750000000000004D+02  0.539519496818748885D+05 -0.291152784072748184D+10
  0.190053541776438461D-04 -0.107500000000000000D+02  0.526198909987609441D+05 -0.276953198910296059D+10
  0.194864732690530057D-04 -0.107249999999999996D+02  0.513207209617145563D+05 -0.263446133128329039D+10
  0.199797717564856118D-04 -0.106999999999999993D+02  0.500536275471699555D+05 -0.250597812221324015D+10
  0.204855579529882155D-04 -0.106750000000000007D+02  0.488178187804966583D+05 -0.238376108884113407D+10
  0.210041479760853112D-04 -0.106500000000000004D+02  0.476125222409868220D+05 -0.226750462677517796D+10
  0.215358659453246317D-04 -0.106250000000000000D+02  0.464369845790664622D+05 -0.215691803610895061D+10
  0.220810441848222820D-04 -0.105999999999999996D+02  0.452904710454301821D+05 -0.205172479452220297D+10
  0.226400234309337782D-04 -0.105749999999999993D+02  0.441722650317971347D+05 -0.195166186583381462D+10
  0.232131530451808472D-04 -0.105500000000000007D+02  0.430816676230089361D+05 -0.185647904227560616D+10
  0.238007912325671119D-04 -0.105250000000000004D+02  0.420179971601824072D+05 -0.176593831884315848D+10
  0.244033052654185509D-04 -0.105000000000000000D+02  0.409805888146528159D+05 -0.167981329815833712D+10
  0.250210717128890381D-04 -0.104749999999999996D+02  0.399687941724342236D+05 -0.159788862436178350D+10
  0.256544766762740366D-04 -0.104499999999999993D+02  0.389819808289381544D+05 -0.151995944461115551D+10
  0.263039160302792470D-04 -0.104250000000000007D+02  0.380195319937013846D+05 -0.144583089684232903D+10
