        4436
  0.155602893241317574D-04  0.299998137716199587D+01 -0.119680962355577769D+01  0.110640924261146933D+01
  0.159541974166204080D-04  0.299998090572908716D+01 -0.119680919262822849D+01  0.109691842102385162D+01
  0.163580772114030985D-04  0.299998042236212070D+01 -0.119680874841824636D+01  0.111526742365661269D+01
  0.167721811367348141D-04  0.299997992675901726D+01 -0.119680828020007324D+01  0.111314691694014734D+01
  0.171967680107843017D-04  0.299997941861002992D+01 -0.119680781501594558D+01  0.109958266426474238D+01
  0.176321032033782773D-04  0.299997889759757008D+01 -0.119680733460204003D+01  0.110812517352536144D+01
  0.180784588018391434D-04  0.299997836339602708D+01 -0.119680683794175824D+01  0.110532494381298529D+01
  0.185361137810201553D-04  0.299997781567153199D+01 -0.119680633545994297D+01  0.109912013871755554D+01
  0.190053541776438461D-04  0.299997725408177196D+01 -0.119680581915881579D+01  0.110675926846343309D+01
  0.194864732690530057D-04  0.299997667827576953D+01 -0.119680528356394023D+01  0.111490103875753355D+01
  0.199797717564856118D-04  0.299997608789366854D+01 -0.119680473275925903D+01  0.111147769436300203D+01
  0.204855579529882155D-04  0.299997548256649482D+01 -0.119680417316725096D+01  0.110128902871281253D+01
  0.210041479760853112D-04  0.299997486191593765D+01 -0.119680360469015801D+01  0.109980652250710298D+01
  0.215358659453246317D-04  0.299997422555410731D+01 -0.119680301798429145D+01  0.110887420813103210D+01
  0.220810441848222820D-04  0.299997357308330903D+01 -0.119680241047425207D+01  0.110840864111366333D+01
  0.226400234309337782D-04  0.299997290409577122D+01 -0.119680179420835375D+01  0.110461464578791446D+01
  0.232131530451808472D-04  0.299997221817339810D+01 -0.119680115990008051D+01  0.110907292019502179D+01
  0.238007912325671119D-04  0.299997151488752456D+01 -0.119680050679844197D+01  0.110578494789978876D+01
  0.244033052654185509D-04  0.299997079379862264D+01 -0.119679984393121241D+01  0.110299685831619732D+01
  0.250210717128890381D-04  0.299997005445604126D+01 -0.119679916078977344D+01  0.110719531631285717D+01
  0.256544766762740366D-04  0.299996929639773358D+01 -0.119679845861865308D+01  0.110821093491841749D+01
  0.263039160302792470D-04  0.299996851914994522D+01 -0.119679773913336418D+01  0.110776931324232697D+01
  0.269697956703953834D-04  0.299996772222694119D+01 -0.119679700155005952D+01  0.110519690298354978D+01
  0.276525317665326145D-04  0.299996690513068209D+01 -0.119679624868932954D+01  0.110503420236781702D+01
  0.283525510230741155D-04  0.299996606735052884D+01 -0.119679547351795224D+01  0.110625596261244308D+01
  0.290702909455105032D-04  0.299996520836292113D+01 -0.119679468030429925D+01  0.110714930281966217D+01
  0.298062001138214679D-04  0.299996432763103726D+01 -0.119679386407513455D+01  0.110797483071156444D+01
  0.305607384627760620D-04  0.299996342460448551D+01 -0.119679302894774242D+01  0.110473627557020704D+01
  0.313343775693255246D-04  0.299996249871891951D+01 -0.119679217588159270D+01  0.110472377907304375D+01
  0.321276009472692072D-04  0.299996154939573190D+01 -0.119679129795721262D+01  0.110693029181969216D+01
  0.329409043493768310D-04  0.299996057604165811D+01 -0.119679039756543282D+01  0.110767856967378275D+01
  0.337747960771558615D-04  0.299995957804842694D+01 -0.119678947338213981D+01  0.110611024169026617D+01
  0.346297972984577478D-04  0.299995855479236484D+01 -0.119678852950939074D+01  0.110510099806341300D+01
  0.355064423731203690D-04  0.299995750563401309D+01 -0.119678755971302975D+01  0.110726019300039669D+01
  0.364052791868511765D-04  0.299995642991773925D+01 -0.119678656356675051D+01  0.110674417480870924D+01
  0.373268694935584736D-04  0.299995532697130685D+01 -0.119678554500044410D+01  0.110543157355690469D+01
  0.382717892663449481D-04  0.299995419610546854D+01 -0.119678450026279903D+01  0.110650328686383181D+01
  0.392406290573827867D-04  0.299995303661353629D+01 -0.119678342739845922D+01  0.110698826200926592D+01
  0.402339943668939524D-04  0.299995184777093638D+01 -0.119678232813415297D+01  0.110586167641624922D+01
  0.412525060214672927D-04  0.299995062883475327D+01 -0.119678120255955145D+01  0.110569333407741777D+01
  0.422968005619477031D-04  0.299994937904327230D+01 -0.119678004728823550D+01  0.110591444567307917D+01
  0.433675306411395223D-04  0.299994809761550441D+01 -0.119677886353266061D+01  0.110682501413044276D+01
  0.444653654315727806D-04  0.299994678375068835D+01 -0.119677764703208567D+01  0.110752466113012815D+01
  0.455909910435859571D-04  0.299994543662781288D+01 -0.119677640101116389D+01  0.110558715215783776D+01
  0.467451109539870468D-04  0.299994405540506470D+01 -0.119677512661380359D+01  0.110549315945980675D+01
  0.479284464455598683D-04  0.299994263921934712D+01 -0.119677381693288565D+01  0.110742049582330271D+01
  0.491417370576898474D-04  0.299994118718571467D+01 -0.119677247252146746D+01  0.110711052049240366D+01
  0.503857410483909447D-04  0.299993969839683050D+01 -0.119677109646566016D+01  0.110529894737591228D+01
  0.516612358680208466D-04  0.299993817192238277D+01 -0.119676968774890491D+01  0.110538021122311836D+01
  0.529690186449814266D-04  0.299993660680853091D+01 -0.119676824093160161D+01  0.110645471841147058D+01
  0.543099066837064853D-04  0.299993500207729413D+01 -0.119676675710989722D+01  0.110662622676092770D+01
  0.556847379752474777D-04  0.299993335672594030D+01 -0.119676523564434945D+01  0.110655719532532193D+01
  0.570943717207766292D-04  0.299993166972636471D+01 -0.119676367594352029D+01  0.110614608267100323D+01
  0.585396888683321177D-04  0.299992994002444302D+01 -0.119676207766274056D+01  0.110586329443498510D+01
  0.600215926631423108D-04  0.299992816653937755D+01 -0.119676043883625205D+01  0.110677605301323112D+01
  0.615410092118707266D-04  0.299992634816302273D+01 -0.119675875584011737D+01  0.110662606426262888D+01
  0.630988880611342172D-04  0.299992448375919851D+01 -0.119675703346070450D+01  0.110583748252245462D+01
  0.646962027906552859D-04  0.299992257216294966D+01 -0.119675526669913834D+01  0.110634377276460194D+01
  0.663339516214174257D-04  0.299992061217988093D+01 -0.119675345435770808D+01  0.110598841083310262D+01
  0.680131580392042963D-04  0.299991860258533594D+01 -0.119675159821064625D+01  0.110617446187056045D+01
  0.697348714339101602D-04  0.299991654212369996D+01 -0.119674969231293682D+01  0.110659110712846487D+01
  0.715001677550207611D-04  0.299991442950757348D+01 -0.119674773953353730D+01  0.110618637060315939D+01
  0.733101501836734006D-04  0.299991226341698214D+01 -0.119674573738913970D+01  0.110627847127408740D+01
  0.751659498217144739D-04  0.299991004249855742D+01 -0.119674368415268884D+01  0.110638385329632483D+01
  0.770687263981847682D-04  0.299990776536468484D+01 -0.119674157896135003D+01  0.110614768673466202D+01
  0.790196689936726167D-04  0.299990543059264203D+01 -0.119673942138126499D+01  0.110608504836757948D+01
  0.810199967829859901D-04  0.299990303672370473D+01 -0.119673720851194365D+01  0.110645144877537360D+01
  0.830709597966075775D-04  0.299990058226225242D+01 -0.119673493881465598D+01  0.110633012786732898D+01
  0.851738397014048504D-04  0.299989806567481354D+01 -0.119673261300695977D+01  0.110599017055502546D+01
  0.873299506010846412D-04  0.299989548538912087D+01 -0.119673022841378307D+01  0.110626518181381894D+01
