        4436
  0.155602893241317574D-04  0.122507838394143062D-02  0.524870829406646635D+02 -0.112451118041893747D+07
  0.159541974166204080D-04  0.124566732550133118D-02  0.520515107248284323D+02 -0.108764554689400969D+07
  0.163580772114030985D-04  0.126660228606244492D-02  0.516195532411149429D+02 -0.105198851068407390D+07
  0.167721811367348141D-04  0.128788908069816664D-02  0.511911804927060530D+02 -0.101750044930306333D+07
  0.171967680107843017D-04  0.130953362220186911D-02  0.507663627316865487D+02 -0.984143039217816200D+06
  0.176321032033782773D-04  0.133154192272879409D-02  0.503450704570649847D+02 -0.951879213248975109D+06
  0.180784588018391434D-04  0.135392009546554605D-02  0.499272744126725740D+02 -0.920673119495488587D+06
  0.185361137810201553D-04  0.137667435632755344D-02  0.495129455851219547D+02 -0.890490081377560738D+06
  0.190053541776438461D-04  0.139981102568509982D-02  0.491020552018412744D+02 -0.861296559128777590D+06
  0.194864732690530057D-04  0.142333653011832238D-02  0.486945747290459678D+02 -0.833060112603742629D+06
  0.199797717564856118D-04  0.144725740420168425D-02  0.482904758697340668D+02 -0.805749365157429245D+06
  0.204855579529882155D-04  0.147158029231838597D-02  0.478897305617574034D+02 -0.779333968761045719D+06
  0.210041479760853112D-04  0.149631195050531633D-02  0.474923109758684490D+02 -0.753784570316377096D+06
  0.215358659453246317D-04  0.152145924832890514D-02  0.470981895137895066D+02 -0.729072779049129225D+06
  0.220810441848222820D-04  0.154702917079256250D-02  0.467073388062792247D+02 -0.705171134969022358D+06
  0.226400234309337782D-04  0.157302882027604888D-02  0.463197317112227722D+02 -0.682053078297068947D+06
  0.232131530451808472D-04  0.159946541850749472D-02  0.459353413117939482D+02 -0.659692919983896543D+06
  0.238007912325671119D-04  0.162634630856850850D-02  0.455541409145426428D+02 -0.638065813194312621D+06
  0.244033052654185509D-04  0.165367895693292418D-02  0.451761040475541620D+02 -0.617147725645676721D+06
  0.250210717128890381D-04  0.168147095553982198D-02  0.448012044586256977D+02 -0.596915412934849737D+06
  0.256544766762740366D-04  0.170973002390134294D-02  0.444294161134192791D+02 -0.577346392712885281D+06
  0.263039160302792470D-04  0.173846401124587045D-02  0.440607131936630765D+02 -0.558418919675132260D+06
  0.269697956703953834D-04  0.176768089869723858D-02  0.436950700953677611D+02 -0.540111961408507312D+06
  0.276525317665326145D-04  0.179738880149048663D-02  0.433324614270453026D+02 -0.522405175035823486D+06
  0.283525510230741155D-04  0.182759597122484881D-02  0.429728620079339123D+02 -0.505278884603881626D+06
  0.290702909455105032D-04  0.185831079815453395D-02  0.426162468662537179D+02 -0.488714059196157148D+06
  0.298062001138214679D-04  0.188954181351798649D-02  0.422625912374937087D+02 -0.472692291813017102D+06
  0.305607384627760620D-04  0.192129769190626642D-02  0.419118705626573700D+02 -0.457195778917810880D+06
  0.313343775693255246D-04  0.195358725367111505D-02  0.415640604865776879D+02 -0.442207300622403331D+06
  0.321276009472692072D-04  0.198641946737354233D-02  0.412191368562370073D+02 -0.427710201580193243D+06
  0.329409043493768310D-04  0.201980345227344713D-02  0.408770757190689338D+02 -0.413688372483068844D+06
  0.337747960771558615D-04  0.205374848086105431D-02  0.405378533212981012D+02 -0.400126232148282346D+06
  0.346297972984577478D-04  0.208826398143082976D-02  0.402014461062876123D+02 -0.387008710191159917D+06
  0.355064423731203690D-04  0.212335954069859268D-02  0.398678307129298943D+02 -0.374321230292331660D+06
  0.364052791868511765D-04  0.215904490646260435D-02  0.395369839739991704D+02 -0.362049694018676761D+06
  0.373268694935584736D-04  0.219532999030923456D-02  0.392088829145369147D+02 -0.350180465127551928D+06
  0.382717892663449481D-04  0.223222487036409904D-02  0.388835047502821922D+02 -0.338700354419379844D+06
  0.392406290573827867D-04  0.226973979408936610D-02  0.385608268860749774D+02 -0.327596605097261898D+06
  0.402339943668939524D-04  0.230788518112796633D-02  0.382408269142844688D+02 -0.316856878584857448D+06
  0.412525060214672927D-04  0.234667162619556398D-02  0.379234826132493836D+02 -0.306469240804086090D+06
  0.422968005619477031D-04  0.238610990202103206D-02  0.376087719457552865D+02 -0.296422148920461186D+06
  0.433675306411395223D-04  0.242621096233632113D-02  0.372966730574880643D+02 -0.286704438522560115D+06
  0.444653654315727806D-04  0.246698594491641474D-02  0.369871642755249539D+02 -0.277305311217281036D+06
  0.455909910435859571D-04  0.250844617467038461D-02  0.366802241068087085D+02 -0.268214322624345194D+06
  0.467451109539870468D-04  0.255060316678415964D-02  0.363758312366771719D+02 -0.259421370754858857D+06
  0.479284464455598683D-04  0.259346862991623097D-02  0.360739645273979548D+02 -0.250916684814419423D+06
  0.491417370576898474D-04  0.263705446944678115D-02  0.357746030166584177D+02 -0.242690814344466082D+06
  0.503857410483909447D-04  0.268137279078142082D-02  0.354777259161255785D+02 -0.234734618695054611D+06
  0.516612358680208466D-04  0.272643590271026085D-02  0.351833126100211118D+02 -0.227039256874265790D+06
