        4436
  0.155602893241317574D-04  0.544486041662618834D-03  0.233283165344461629D+02 -0.499751722583207127D+06
  0.159541974166204080D-04  0.553636969968126147D-03  0.231347410527515294D+02 -0.483367254036387778D+06
  0.163580772114030985D-04  0.562941696733321715D-03  0.229427723231971470D+02 -0.467519937680145376D+06
  0.167721811367348141D-04  0.572402806955922615D-03  0.227523970173183372D+02 -0.452192163589133124D+06
  0.171967680107843017D-04  0.582022929086882805D-03  0.225636019172846147D+02 -0.437366899102514028D+06
  0.176321032033782773D-04  0.591804735761071346D-03  0.223763739151128433D+02 -0.423027669890746474D+06
  0.180784588018391434D-04  0.601750944540282865D-03  0.221907000116828215D+02 -0.409158541827774781D+06
  0.185361137810201553D-04  0.611864318668652605D-03  0.220065673158147916D+02 -0.395744103113199875D+06
  0.190053541776438461D-04  0.622147667840865703D-03  0.218239630434470584D+02 -0.382769447178917238D+06
  0.194864732690530057D-04  0.632603848983277805D-03  0.216428745167016388D+02 -0.370220156231021741D+06
  0.199797717564856118D-04  0.643235767048160913D-03  0.214632891629781462D+02 -0.358082285109864199D+06
  0.204855579529882155D-04  0.654046375821309869D-03  0.212851945141439458D+02 -0.346342345791799366D+06
  0.210041479760853112D-04  0.665038678743313464D-03  0.211085782056473263D+02 -0.334987292481802986D+06
  0.215358659453246317D-04  0.676215729744554148D-03  0.209334279756438910D+02 -0.324004507083987817D+06
  0.220810441848222820D-04  0.687580634094345309D-03  0.207597316641546144D+02 -0.313381785170183401D+06
  0.226400234309337782D-04  0.699136549264290567D-03  0.205874772122160330D+02 -0.303107322407694475D+06
  0.232131530451808472D-04  0.710886685806241207D-03  0.204166526610652781D+02 -0.293169701459081378D+06
  0.238007912325671119D-04  0.722834308244996908D-03  0.202472461512855801D+02 -0.283557879307366908D+06
  0.244033052654185509D-04  0.734982735986043612D-03  0.200792459219911485D+02 -0.274261174947010702D+06
  0.250210717128890381D-04  0.747335344238573749D-03  0.199126403100300848D+02 -0.265269257539101294D+06
  0.256544766762740366D-04  0.759895564954076916D-03  0.197474177491554954D+02 -0.256572134957789327D+06
  0.263039160302792470D-04  0.772666887780678051D-03  0.195835667692087583D+02 -0.248160142641566577D+06
  0.269697956703953834D-04  0.785652861033588360D-03  0.194210759953597076D+02 -0.240023932854821905D+06
  0.276525317665326145D-04  0.798857092681897244D-03  0.192599341473034755D+02 -0.232154464334251796D+06
  0.283525510230741155D-04  0.812283251351965190D-03  0.191001300384707768D+02 -0.224542992233514844D+06
  0.290702909455105032D-04  0.825935067347731530D-03  0.189416525752469340D+02 -0.217181058381325274D+06
  0.298062001138214679D-04  0.839816333688175030D-03  0.187844907562296370D+02 -0.210060481900302955D+06
  0.305607384627760620D-04  0.853930907162325434D-03  0.186286336714361340D+02 -0.203173350128241174D+06
  0.313343775693255246D-04  0.868282709401922465D-03  0.184740705015563833D+02 -0.196512009788519674D+06
  0.321276009472692072D-04  0.882875727972282152D-03  0.183207905172278025D+02 -0.190069058514864795D+06
  0.329409043493768310D-04  0.897714017481445197D-03  0.181687830782575830D+02 -0.183837336634769803D+06
  0.337747960771558615D-04  0.912801700708051997D-03  0.180180376328952292D+02 -0.177809919199488912D+06
  0.346297972984577478D-04  0.928142969748200217D-03  0.178685437170869648D+02 -0.171980108273351041D+06
  0.355064423731203690D-04  0.943742087181617846D-03  0.177202909537881439D+02 -0.166341425494496478D+06
  0.364052791868511765D-04  0.959603387257561150D-03  0.175732690522251538D+02 -0.160887604908298061D+06
  0.373268694935584736D-04  0.975731277100596022D-03  0.174274678071643159D+02 -0.155612585983893921D+06
  0.382717892663449481D-04  0.992130237936766132D-03  0.172828770982199416D+02 -0.150510506866227603D+06
  0.392406290573827867D-04  0.100880482634039398D-02  0.171394868891598833D+02 -0.145575697873850877D+06
  0.402339943668939524D-04  0.102575967550193889D-02  0.169972872272056179D+02 -0.140802675217543350D+06
  0.412525060214672927D-04  0.104299949651717630D-02  0.168562682423116783D+02 -0.136186134876405820D+06
  0.422968005619477031D-04  0.106052907969810656D-02  0.167164201465365068D+02 -0.131720946703722409D+06
  0.433675306411395223D-04  0.107835329590607373D-02  0.165777332333348539D+02 -0.127402148757713556D+06
  0.444653654315727806D-04  0.109647709790719515D-02  0.164401978768765140D+02 -0.123224941770088975D+06
  0.455909910435859571D-04  0.111490552175079450D-02  0.163038045313841948D+02 -0.119184683804779226D+06
  0.467451109539870468D-04  0.113364368817093553D-02  0.161685437304817157D+02 -0.115276885095587349D+06
  0.479284464455598683D-04  0.115269680401176725D-02  0.160344060865546147D+02 -0.111497203078587292D+06
  0.491417370576898474D-04  0.117207016367676733D-02  0.159013822900604342D+02 -0.107841437573341478D+06
  0.503857410483909447D-04  0.119176915060248889D-02  0.157694631088818653D+02 -0.104305526082179771D+06
  0.516612358680208466D-04  0.121179923875709412D-02  0.156386393877267995D+02 -0.100885539272718263D+06
  0.529690186449814266D-04  0.123216599416434321D-02  0.155089020475044865D+02 -0.975776766556314542D+05
  0.543099066837064853D-04  0.125287507645315964D-02  0.153802420846251593D+02 -0.943782623429992236D+05
  0.556847379752474777D-04  0.127393224043328849D-02  0.152526505704316904D+02 -0.912837409421941848D+05
  0.570943717207766292D-04  0.129534333769775281D-02  0.151261186505645604D+02 -0.882906736266379594D+05
  0.585396888683321177D-04  0.131711431825209230D-02  0.150006375443487130D+02 -0.853957342977208900D+05
  0.600215926631423108D-04  0.133925123217137031D-02  0.148761985442159919D+02 -0.825957059074737481D+05
  0.615410092118707266D-04  0.136176023128497950D-02  0.147527930150485513D+02 -0.798874768885429366D+05
  0.630988880611342172D-04  0.138464757088990645D-02  0.146304123935956376D+02 -0.772680376620391908D+05
  0.646962027906552859D-04  0.140791961149295424D-02  0.145090481879304498D+02 -0.747344773223150405D+05
  0.663339516214174257D-04  0.143158282058250780D-02  0.143886919767893193D+02 -0.722839804000199947D+05
  0.680131580392042963D-04  0.145564377442986849D-02  0.142693354090463451D+02 -0.699138237153880764D+05
  0.697348714339101602D-04  0.148010915992157063D-02  0.141509702031192255D+02 -0.676213733824177179D+05
  0.715001677550207611D-04  0.150498577642202858D-02  0.140335881463543863D+02 -0.654040818564497022D+05
  0.733101501836734006D-04  0.153028053766815020D-02  0.139171810945281926D+02 -0.632594851080590452D+05
  0.751659498217144739D-04  0.155600047369569799D-02  0.138017409712247581D+02 -0.611851998919230318D+05
  0.770687263981847682D-04  0.158215273279826833D-02  0.136872597673251484D+02 -0.591789210917698656D+05
  0.790196689936726167D-04  0.160874458351950166D-02  0.135737295404166325D+02 -0.572384191705279081D+05
  0.810199967829859901D-04  0.163578341667870849D-02  0.134611424142484815D+02 -0.553615376747572300D+05
  0.830709597966075775D-04  0.166327674743103654D-02  0.133494905782193420D+02 -0.535461908518630662D+05
  0.851738397014048504D-04  0.169123221736229719D-02  0.132387662867897333D+02 -0.517903613338207360D+05
  0.873299506010846412D-04  0.171965759661920790D-02  0.131289618589724171D+02 -0.500920978808776854D+05
  0.895406398568891255D-04  0.174856078607580072D-02  0.130200696778135523D+02 -0.484495132262396874D+05
  0.918072889290445050D-04  0.177794981953639211D-02  0.129120821898388911D+02 -0.468607819789065979D+05
  0.941313142394879977D-04  0.180783286597581004D-02  0.128049919045428648D+02 -0.453241385888147051D+05
  0.965141680564082446D-04  0.183821823181759764D-02  0.126987913938712786D+02 -0.438378753865234903D+05
  0.989573394011523326D-04  0.186911436325071126D-02  0.125934732917132699D+02 -0.424003406864025601D+05
  0.101462354978062893D-03  0.190052984858554361D-02  0.124890302933894013D+02 -0.410099369548219911D+05
  0.104030780127825097D-03  0.193247342064972153D-02  0.123854551551344283D+02 -0.396651190323348419D+05
  0.106664219804916964D-03  0.196495395922454330D-02  0.122827406936059216D+02 -0.383643924103260651D+05
  0.109364319579770286D-03  0.199798049352265189D-02  0.121808797854088517D+02 -0.371063115801061940D+05
  0.112132766666268600D-03  0.203156220470783987D-02  0.120798653665618829D+02 -0.358894784256348139D+05
  0.114971290975220095D-03  0.206570842845718540D-02  0.119796904320348485D+02 -0.347125406599820853D+05
  0.117881666194461092D-03  0.210042865756711761D-02  0.118803480352772510D+02 -0.335741903345096798D+05
  0.120865710896264140D-03  0.213573254460323316D-02  0.117818312876984272D+02 -0.324731623793857616D+05
  0.123925289672736200D-03  0.217162990459523813D-02  0.116841333582390696D+02 -0.314082331971852436D+05
  0.127062314299918202D-03  0.220813071777767973D-02  0.115872474728620265D+02 -0.303782193078184537D+05
  0.130278744931306556D-03  0.224524513237687670D-02  0.114911669141056478D+02 -0.293819760275843437D+05
  0.133576591321540259D-03  0.228298346744555420D-02  0.113958850206173352D+02 -0.284183962020195249D+05
