        4436
  0.155602893241317574D-04 -0.133400162899544226D-05 -0.114307791273790177D+00 -0.244817704995721124D+04
  0.159541974166204080D-04 -0.137921595947384785D-05 -0.115264108287015554D+00 -0.240769394659507680D+04
  0.163580772114030985D-04 -0.142596272632614758D-05 -0.116228420179513597D+00 -0.236787981702745947D+04
  0.167721811367348141D-04 -0.147429386514063679D-05 -0.117200793591770519D+00 -0.232872360281051351D+04
  0.171967680107843017D-04 -0.152426307147685492D-05 -0.118181295713053136D+00 -0.229021442826155271D+04
  0.176321032033782773D-04 -0.157592586049650426D-05 -0.119169994285697356D+00 -0.225234159746061277D+04
  0.180784588018391434D-04 -0.162933962861414376D-05 -0.120166957609440753D+00 -0.221509459126704041D+04
  0.185361137810201553D-04 -0.168456371723606695D-05 -0.121172254545752173D+00 -0.217846306437683415D+04
  0.190053541776438461D-04 -0.174165947865798933D-05 -0.122185954522196855D+00 -0.214243684247950068D+04
  0.194864732690530057D-04 -0.180069034419469697D-05 -0.123208127536843640D+00 -0.210700591942887104D+04
  0.199797717564856118D-04 -0.186172189461716759D-05 -0.124238844162678774D+00 -0.207216045443933308D+04
  0.204855579529882155D-04 -0.192482193297526624D-05 -0.125278175552039961D+00 -0.203789076936843139D+04
  0.210041479760853112D-04 -0.199006055988678334D-05 -0.126326193441094969D+00 -0.200418734603787721D+04
  0.215358659453246317D-04 -0.205751025137626073D-05 -0.127382970154334196D+00 -0.197104082357787411D+04
  0.220810441848222820D-04 -0.212724593934994238D-05 -0.128448578609086872D+00 -0.193844199582147303D+04
  0.226400234309337782D-04 -0.219934509479604045D-05 -0.129523092320055960D+00 -0.190638180875998069D+04
  0.232131530451808472D-04 -0.227388781380253290D-05 -0.130606585403895525D+00 -0.187485135802694595D+04
  0.238007912325671119D-04 -0.235095690648791869D-05 -0.131699132583792289D+00 -0.184384188640451111D+04
  0.244033052654185509D-04 -0.243063798894336454D-05 -0.132800809194066199D+00 -0.181334478141862382D+04
  0.250210717128890381D-04 -0.251301957828829020D-05 -0.133911691184829929D+00 -0.178335157294160990D+04
  0.256544766762740366D-04 -0.259819319094467301D-05 -0.135031855126629657D+00 -0.175385393082050064D+04
  0.263039160302792470D-04 -0.268625344423894726D-05 -0.136161378215126555D+00 -0.172484366257825968D+04
  0.269697956703953834D-04 -0.277729816144418839D-05 -0.137300338275799599D+00 -0.169631271113476259D+04
  0.276525317665326145D-04 -0.287142848037881274D-05 -0.138448813768665746D+00 -0.166825315257358352D+04
  0.283525510230741155D-04 -0.296874896568229151D-05 -0.139606883793031711D+00 -0.164065719393492009D+04
  0.290702909455105032D-04 -0.306936772489216923D-05 -0.140774628092248139D+00 -0.161351717105130842D+04
  0.298062001138214679D-04 -0.317339652845094349D-05 -0.141952127058502020D+00 -0.158682554641838760D+04
  0.305607384627760620D-04 -0.328095093377588070D-05 -0.143139461737609552D+00 -0.156057490710463526D+04
  0.313343775693255246D-04 -0.339215041352896817D-05 -0.144336713833852381D+00 -0.153475796269607577D+04
  0.321276009472692072D-04 -0.350711848822932781D-05 -0.145543965714813428D+00 -0.150936754325498669D+04
  0.329409043493768310D-04 -0.362598286335471398D-05 -0.146761300416225093D+00 -0.148439659734401403D+04
  0.337747960771558615D-04 -0.374887557108406444D-05 -0.147988801646863927D+00 -0.145983819006953649D+04
  0.346297972984577478D-04 -0.387593311683801870D-05 -0.149226553793436800D+00 -0.143568550113993524D+04
  0.355064423731203690D-04 -0.400729663077955365D-05 -0.150474641925482766D+00 -0.141193182297968247D+04
  0.364052791868511765D-04 -0.414311202444258380D-05 -0.151733151800303889D+00 -0.138857055886877652D+04
  0.373268694935584736D-04 -0.428353015266183157D-05 -0.153002169867901550D+00 -0.136559522110797866D+04
  0.382717892663449481D-04 -0.442870698098317058D-05 -0.154281783275931228D+00 -0.134299942921519050D+04
  0.392406290573827867D-04 -0.457880375873985488D-05 -0.155572079874662789D+00 -0.132077690815360211D+04
  0.402339943668939524D-04 -0.473398719798588531D-05 -0.156873148221960301D+00 -0.129892148659663462D+04
  0.412525060214672927D-04 -0.489442965848484240D-05 -0.158185077588281042D+00 -0.127742709519944219D+04
  0.422968005619477031D-04 -0.506030933895859678D-05 -0.159507957961648850D+00 -0.125628776491566896D+04
  0.433675306411395223D-04 -0.523181047480752576D-05 -0.160841880052676606D+00 -0.123549762535674972D+04
  0.444653654315727806D-04 -0.540912354252103588D-05 -0.162186935299592772D+00 -0.121505090314386143D+04
  0.455909910435859571D-04 -0.559244547100430156D-05 -0.163543215873243053D+00 -0.119494192030531531D+04
  0.467451109539870468D-04 -0.578197986005502757D-05 -0.164910814682131701D+00 -0.117516509270586812D+04
  0.479284464455598683D-04 -0.597793720623182831D-05 -0.166289825377447548D+00 -0.115571492849191645D+04
  0.491417370576898474D-04 -0.618053513636378279D-05 -0.167680342358105472D+00 -0.113658602657355777D+04
  0.503857410483909447D-04 -0.638999864895956465D-05 -0.169082460775796528D+00 -0.111777307511224103D+04
  0.516612358680208466D-04 -0.660656036378260920D-05 -0.170496276540003072D+00 -0.109927085004683340D+04
  0.529690186449814266D-04 -0.683046077986846479D-05 -0.171921886323052331D+00 -0.108107421365774667D+04
  0.543099066837064853D-04 -0.706194854226927199D-05 -0.173359387565167944D+00 -0.106317811312388699D+04
